Trimestre;arrondissement;prix_m2
T1 2000;10;2190
T4 1999;10;2010
T3 1999;10;2030
T2 1999;10;1840
T1 1999;10;1890
T4 1998;10;1800
T3 1998;10;1760
T2 1998;10;1780
T1 1998;10;1700
T4 1997;10;1830
T3 1997;10;1680
T2 1997;10;1640
T1 1997;10;1650
T4 1996;10;1670
T3 1996;10;1750
T2 1996;10;1690
T1 1996;10;1780
T4 1995;10;1800
T4 2025;11;9640
T3 2025;11;9560
T2 2025;11;9290
T1 2025;11;9360
T4 2024;11;9220
T3 2024;11;9470
T2 2024;11;9470
T1 2024;11;9420
T4 2023;11;9740
T3 2023;11;9970
T2 2023;11;10010
T1 2023;11;10200
T4 2022;11;10300
T3 2022;11;10690
T2 2022;11;10490
T1 2022;11;10460
T4 2021;11;10450
T3 2021;11;10620
T2 2021;11;10540
T1 2021;11;10600
T4 2020;11;10760
T3 2020;11;10820
T2 2020;11;10510
T1 2020;11;10220
T4 2019;11;10100
T3 2019;11;10040
T2 2019;11;9850
T1 2019;11;9600
T4 2018;11;9360
T3 2018;11;9590
T2 2018;11;9210
T1 2018;11;9020
T4 2017;11;9000
T3 2017;11;8940
T2 2017;11;8680
T1 2017;11;8320
T4 2016;11;8270
T3 2016;11;8110
T2 2016;11;8010
T1 2016;11;7870
T4 2015;11;7840
T3 2015;11;7940
T2 2015;11;7770
T1 2015;11;7810
T4 2014;11;7800
T3 2014;11;7910
T2 2014;11;8000
